EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
MACARTHYS LABORATORIES LIMITED,"Bampton Road,
Harold Hill,
Romford,
Essex,
United Kingdom,
RM3 8UG",620024,21100,15,0,62,9,88,82,59,41,52,48,41,59,71,29,,Beverley Thompson (UK HR Director),250 to 499,MACARTHYS LABORATORIES LIMITED,TRUE
MACE LIMITED,"155 Moorgate,
London,
United Kingdom,
EC2M 6XB",2410626,"41100,
41201,
64203,
70229",33,37.2,55.4,33.3,42.3,47.1,50,50,70,30,87,13,93,7,https://www.macegroup.com/about-us/our-commitments,Carol Hosey (Group HR Director),"5000 to 19,999",MACE LIMITED,FALSE
MACE MACRO LIMITED,"155 Moorgate,
London,
United Kingdom,
EC2M 6XB",4449811,82990,22,6.9,64.3,0,57.3,40.9,46,54,50,50,43,57,70,30,https://www.macegroup.com/about-us/our-commitments,Carol Hosey (Group HR Director),"5000 to 19,999",MACE MACRO LIMITED,FALSE
MACFARLANES SERVICES LIMITED,"20 Cursitor Street,
London,
United Kingdom,
EC4A 1LT",1153163,82990,16.8,34.7,32.6,18.6,91.6,93.3,28.2,71.8,40.7,59.3,50.3,49.7,51,49,https://www.macfarlanes.com/media/2458/m-pdfs-gender-pay-gap.pdf,Julian Howard (Managing Partner),500 to 999,MACFARLANES SERVICES LIMITED,FALSE
MACLELLAN MANAGEMENT SERVICES LIMITED,"Capital Tower,
91 Waterloo Road,
London,
United Kingdom,
SE1 8RT",3385466,70100,8.7,6.7,100,100,0.3,0,47.7,52.3,44.2,55.8,69.8,30.2,51.2,48.8,https://www.interserve.com/docs/default-source/about/policies/uk-gender-pay-report-2018-interserve.pdf,Debbie White (Chief Executive Officer),500 to 999,MACLELLAN MANAGEMENT SERVICES LIMITED,FALSE
MACMILLAN CANCER SUPPORT,"89 Albert Embankment,
London,
SE1 7UQ",2400969,"86101,
86900,
96090",9.6,8.1,NA,NA,0,0,22.1,77.9,21.6,78.4,24.3,75.7,30.3,69.7,https://www.macmillan.org.uk/_images/gender-pay-gap-report-2018_tcm9-350335.pdf,Dawn Wilde (HR Director),1000 to 4999,MACMILLAN CANCER SUPPORT,FALSE
MACQUARIE BANK LIMITED,"Ropemaker Place 28 Ropemaker Street,
London,
EC2Y 9HD",BR002678,,59,46.5,76.9,56.1,79.4,62.6,40.8,59.2,73.2,26.8,74.2,25.8,89.7,10.3,https://static.macquarie.com/dafiles/Internet/mgl/global/shared/about/company-profile/diversity/Macquarie-UK-Gender-Pay-Gap-Report-2018.pdf?v=2,David Fass (EMEA CEO),250 to 499,MACQUARIE BANK LIMITED,FALSE
MACQUARIE CORPORATE HOLDINGS PTY LIMITED,"Ropemaker Place 28 Ropemaker Street,
London,
EC2Y 9HD",BR009622,,54.2,59.2,84.2,84.6,76.3,68,31.6,68.4,59.6,40.4,78.1,21.9,92,8,https://static.macquarie.com/dafiles/Internet/mgl/global/shared/about/company-profile/diversity/Macquarie-UK-Gender-Pay-Gap-Report-2018.pdf?v=2,David Fass (EMEA CEO),250 to 499,MACQUARIE CORPORATE HOLDINGS PTY LIMITED,FALSE
MACQUARIE GROUP,"Ropemaker Place 28 Ropemaker Street,
London,
EC2Y 9HD",BR009621,,10.3,6.7,43.4,27.9,71,68.2,57.8,42.2,52.8,47.2,59.6,40.4,59.3,40.7,https://static.macquarie.com/dafiles/Internet/mgl/global/shared/about/company-profile/diversity/Macquarie-UK-Gender-Pay-Gap-Report-2018.pdf?v=2,David Fass (EMEA CEO),250 to 499,MACQUARIE GROUP,FALSE
MADE.COM DESIGN LTD,"5, Singer Street,
London,
England,
EC2A 4BQ",7101408,47910,28.4,29,36.2,0.1,62,60.8,46,54,22.6,77.4,37.1,62.9,63.5,36.5,https://res.cloudinary.com/made-com/image/upload/v1553683111/MADE_Gender_Pay_Gap_Report.pdf,Philippe Chainieux (CEO),250 to 499,MADE.COM DESIGN LTD,FALSE
MAINTEL EUROPE LIMITED,"160, Blackfriars Road,
London,
England,
SE1 8EZ",2665837,61900,42,42,54,77,24,23,49,51,68,32,84,16,90,10,http://www.maintel.co.uk/resources-and-events/white-papers/2018-maintel-gender-pay-gap-report,Eddie Buxton (CEO),500 to 999,MAINTEL EUROPE LIMITED,FALSE
Maintel Holdings PLC,"160 Blackfriars Road,
London,
England,
SE1 8EZ",3181729,70100,42,42,55,77,24,23,49,51,68,32,84,16,90,10,http://www.maintel.co.uk/resources-and-events/white-papers/2018-maintel-gender-pay-gap-report,Eddie Buxton (CEO),500 to 999,Maintel Holdings PLC,FALSE
Malcolm Hollis LLP,"Battersea Studios,
80-82 Silverthorne Road,
London,
United Kingdom,
SW8 3HE",OC314362,,29,39,42,50,40,15,45,55,70,30,80,20,87,13,https://www.malcolmhollis.com/diversity-and-inclusion/,John Woodman (Senior Partner),250 to 499,Malcolm Hollis LLP,FALSE
MALMAISON TRADING LIMITED,"3rd Floor 95 Cromwell Road,
London,
England,
SW7 4DL",8960725,55100,2.8,4.4,18.9,-25,41,48,38,62,44,56,53,47,51,49,https://www.malmaison.com/about-us/gender-pay-gap/,Martyn Ball (People & Development Director),1000 to 4999,MALMAISON TRADING LIMITED,FALSE
MAN GROUP SERVICES LIMITED,"Riverbank House, 2 Swan Lane,
London,
EC4R 3AD",459151,74990,22.2,27.8,68.9,66.7,88.1,91.9,50.6,49.4,70.7,29.3,84.5,15.5,81.2,18.8,https://www.man.com/documents/download/S12GJ-Q3Kig-QNlZ5-gnx6W,Luke Ellis (CEO Man Group),500 to 999,MAN GROUP SERVICES LIMITED,FALSE
MANAGEMENT & TRAINING CORPORATION LIMITED,"5th Floor, Capital Tower,
91 Waterloo Road,
London,
England,
SE1 8RT",9284837,84230,23,0,-53.8,21,6,2.3,32.8,67.2,43.9,56.1,42.1,57.9,56.1,43.9,http://www.mtcnovo.co.uk/updates-and-developments/news-and-information/,David Hood (Managing Director),Less than 250,MANAGEMENT & TRAINING CORPORATION LIMITED,FALSE
MANDARIN ORIENTAL HYDE PARK LIMITED,"3 Lombard Street,
London,
United Kingdom,
EC3V 9AQ",6192910,55100,-8,2.6,33.7,51,95.7,95.4,62.5,37.5,51.8,48.2,66.2,33.8,60.6,39.4,,Jon Dawson (Director of Human Resources),500 to 999,MANDARIN ORIENTAL HYDE PARK LIMITED,FALSE
MANDER PORTMAN WOODWARD LIMITED,"90-92 Queen's Gate,
London,
United Kingdom,
SW7 5AB",1280778,85310,15.6,12.4,89.5,67.1,8.8,10,44.2,55.8,45.7,54.3,55.2,44.8,72.4,27.6,,Carole Turner (Payroll Manager),250 to 499,MANDER PORTMAN WOODWARD LIMITED,TRUE
MANOR RESTAURANTS (UK) LIMITED,"PRIVATE - TERRY EAGLE,
130 High Street,
London,
United Kingdom,
SE20 7EZ",6039094,56102,5,0.2,-3.8,0,3.7,0.6,41.7,58.3,34.9,65.1,40.5,59.5,45,55,,Terry Eagle (Director),500 to 999,MANOR RESTAURANTS (UK) LIMITED,FALSE
MANPOWER UK LIMITED,"Capital Court,
Windsor Street,
Uxbridge,
Middlesex,
United Kingdom,
UB8 1AB",3841918,78200,-1.9,0.3,-17.2,0,18.6,17.5,70.3,29.7,62.8,37.2,68.1,31.9,66.8,33.2,https://www.manpower.co.uk/staticpages/10373/2018-gender-pay-gap-report/,Damian Whitham (Commercial Director),"20,000 or more",MANPOWER UK LIMITED,FALSE
MAPLE HOTELS 1 LIMITED,"60 Welbeck Street,
London,
England,
W1G 9XB",5562647,55100,5.1,0.1,39.4,13.3,5.9,7,52.7,47.3,31.9,68.1,49.1,50.9,48.5,51.5,https://www.amarishospitality.com/careers,Kirstine Rowland (Head of Human Resources),500 to 999,MAPLE HOTELS 1 LIMITED,FALSE
MARATHON SERVICE (G.B.) LIMITED,"91 Wimpole Street,
London,
England,
W1G 0EF",1293052,82990,22.5,15.2,21.8,-8,93.2,98.5,54.3,45.7,92.5,7.5,85,15,88.7,11.3,https://www.marathonoil.com/Operations/International/,Deanna Jones (VP Human Resources and Administration Services),250 to 499,MARATHON SERVICE (G.B.) LIMITED,FALSE
MARCUS & MARCUS LIMITED,"142 St. Marks Road,
Enfield,
Middlesex,
EN1 1BJ",4563001,87200,-1.7,0,-20.9,32.4,14.4,19.8,73.3,26.7,50,50,55.3,44.7,68.4,31.6,http://marcusandmarcus.co.uk/about-us,Choon Lok (Admin Manager),250 to 499,MARCUS & MARCUS LIMITED,FALSE
MAREX FINANCIAL,"155 Bishopsgate,
London,
United Kingdom,
EC2M 3TQ",5613061,64999,36,34,72,47,83,93,64,36,68,32,86,14,90,10,,Alison Forward (Head of Group Human Resources),250 to 499,MAREX FINANCIAL,FALSE
Marie Curie,"89 Albert Embankment,
London,
United Kingdom,
SE1 7TP",507597,"63990,
86102,
86900",11.2,9,NA,NA,0,0,13,87,8,92,12.2,87.8,16.7,83.3,,Brian ODonoghue (Director of People),1000 to 4999,Marie Curie,FALSE
Marie Stopes International,"1 Conway Street,
Fitzroy Square,
London,
United Kingdom,
W1T 6LP",1102208,86210,44.7,35.1,50.5,18.9,45.6,22.1,11,89,11,89,21,79,40,60,https://mariestopes.org/about-us/gender-pay-gap-reporting/,Kerry Crowther (VP Global Human Resources and People Development),500 to 999,Marie Stopes International,FALSE
Maritime Academy Trust,"50 John Harrison Way,
Greenwich,
SE10 0BG",10264735,1,26,40,NA,NA,0,0,5,95,12,88,17,83,21,79,,,250 to 499,Maritime Academy Trust,TRUE
MARK ALLEN HOLDINGS LIMITED,"St Judes Church,
Dulwich Road,
London,
United Kingdom,
SE24 0PB",2120366,58142,25.8,20,68.2,0,46.5,24,40,60,34.1,65.9,52.8,47.2,65.6,34.4,,KATINA TOUMBA (HR AND OPERATIONS DIRECTOR),250 to 499,MARK ALLEN HOLDINGS LIMITED,FALSE
MARK WARNER LIMITED,"20 Kensington Church Street,
London,
United Kingdom,
W8 4EP",2434787,79120,7.6,-10.6,51.2,-35,24.4,20.9,50,50,50.5,49.5,47.6,52.4,62.1,37.9,,David Hopkins (Managing Director),500 to 999,MARK WARNER LIMITED,FALSE
MARKEL INTERNATIONAL SERVICES LIMITED,"20 Fenchurch Street,
London,
United Kingdom,
EC3M 3AZ",932977,65120,40.7,38.4,74,48,58,60,35,65,45,55,63,37,80,20,http://www.markelinternational.com/,Joanna Browning (HR Director),500 to 999,MARKEL INTERNATIONAL SERVICES LIMITED,FALSE
MARKET & OPINION RESEARCH INTERNATIONAL LIMITED,"CFO-IPSOS MORI,
3 Thomas More Square,
London,
England,
E1W 1YW",948470,73200,29.5,18,84.2,44.4,59.7,52.1,33,67,34.4,65.6,41.6,58.4,55.4,44.6,https://www.ipsos.com/ipsos-mori/en-uk/gender-pay-gap-report,Ben Page (CEO),250 to 499,MARKET & OPINION RESEARCH INTERNATIONAL LIMITED,FALSE
Marketing Vf Ltd,"Imperial Works,
Perren Street,
London,
England,
NW5 3ED",6951544,73110,17.3,9.7,57.6,55.8,40,42,57.4,42.6,58,42,60.2,39.8,76.4,23.6,https://www.mvfglobal.com/sites/default/files/mvf-gender-pay-gap-report-april-2018.pdf,Michael Teixeira (Chief Executive Officer),250 to 499,Marketing Vf Ltd,FALSE
MARKIT GROUP LIMITED,"4th Floor Ropemaker Place,
25 Ropemaker Street,
London,
United Kingdom,
EC2Y 9LY",4185146,64999,24.3,22.2,72.8,17.5,90,93,57,43,70,30,75,25,81,19,https://cdn.ihs.com/www/prot/pdf/0419/UK-Gender-Pay-Gap-Report-2018.pdf,Lance Uggla (Chairman and CEO),500 to 999,MARKIT GROUP LIMITED,FALSE
Marks & Clerk LLP,"15 Fetter Lane,
London,
England,
EC4A 1BW",OC343273,,26.8,30,47.4,50,32.4,23,15.5,84.5,40.5,59.5,47.6,52.4,63.9,36.1,https://www.marks-clerk.com/getattachment/Home/About-Us/Careers/Diversity/GPG-2018-final-2.pdf.aspx,Simon Mounteney (UK Managing Partner),250 to 499,Marks & Clerk LLP,FALSE
MARKS AND SPENCER P.L.C.,"Waterside House,
35 North Wharf Road,
London,
United Kingdom,
W2 1NW",214436,47190,12.5,4.2,53.2,17,73.5,81.7,18.9,81.1,23.6,76.4,31,69,37,63,,David Guise (HR Director),"20,000 or more",MARKS AND SPENCER P.L.C.,FALSE
MARLOWE FIRE & SECURITY LIMITED,"MARLOWE PLC,
20 Grosvenor Place,
London,
England,
SW1X 7HN",5239777,80200,15.8,18.4,58.7,69.1,62,31.1,66.3,33.7,79.1,20.9,93,7,89.4,10.6,,Rob Flinn (CEO),250 to 499,MARLOWE FIRE & SECURITY LIMITED,FALSE
MAROUSH GROUP LIMITED,"21 Edgware Road,
London,
United Kingdom,
W2 2JE",8030800,56101,-8.9,-0.9,-60.1,-130.2,56.3,72.3,79.1,20.9,81.3,18.7,78,22,64.1,35.9,,Fadi Yazbek (HR Manager),250 to 499,MAROUSH GROUP LIMITED,FALSE
MARRIOTT HOTELS LIMITED,"4th Floor, 45 Monmouth Street,
London,
England,
WC2H 9DG",1235583,55100,2.9,1.1,9.1,-34.8,33.1,38.9,49.9,50.1,48.2,51.8,48.1,51.9,52.8,47.2,http://serve360.marriott.com/wp-content/uploads/2019/04/UK_Gender_Pay_Gap_Report_2019-Final-1.pdf,"Francisca Martinez (Chief HR Officer, Europe)","5000 to 19,999",MARRIOTT HOTELS LIMITED,FALSE
MARSDENS CATERERS OF SHEFFIELD LIMITED,"34-36 London Road,
Wembley,
Middlesex,
United Kingdom,
HA9 7EX",358453,56290,-0.1,0,NA,NA,0,0,37.1,62.9,38.4,61.6,33.8,66.2,28.5,71.5,,Michele T (Payroll Dept),500 to 999,MARSDENS CATERERS OF SHEFFIELD LIMITED,FALSE
MARSH & PARSONS LIMITED,"80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",5377981,68310,24.5,14.4,43.1,53.8,89.8,64.6,62,38,51.1,48.9,56.5,43.5,62.2,37.8,https://www.marshandparsons.co.uk/about-us/2018-gender-pay-gap-report/,Ben Thomas (Head of Reward),250 to 499,MARSH & PARSONS LIMITED,FALSE
MARSH SERVICES LIMITED,"1 Tower Place West,
Tower Place,
London,
United Kingdom,
EC3R 5BU",3053552,82990,38.2,33.4,71.9,70.8,79,78,48,52,51,49,65,35,82,18,https://www.marsh.com/uk/about-marsh/gender-pay-gap.html,Roy White (Director),1000 to 4999,MARSH SERVICES LIMITED,FALSE
MARYLEBONE CRICKET CLUB,"Lord's Ground,
St John's Wood Road,
NW88QN",RC000862,,10.2,10.4,20.6,-13.5,32.1,31.9,57,43,60.1,39.9,73.3,26.7,67.3,32.7,https://lords-stg.azureedge.net/mediafiles/lords/media/documents/gender-pay-gap_2019-final.pdf,Guy Lavender (Chief Executive & Secretary),500 to 999,MARYLEBONE CRICKET CLUB,FALSE
MASCOLO LIMITED,"58-60 Stamford Street,
London,
United Kingdom,
SE1 9LX",770236,96020,19.1,29.6,37.6,32.5,31.1,20,25.7,74.3,26,74,39.7,60.3,53.4,46.6,,Pauline Mascolo (Director),250 to 499,MASCOLO LIMITED,FALSE
MASSIMO DUTTI U.K. LIMITED,"Lumina House, 89 New Bond Street,
London,
United Kingdom,
W1S 1DA",4550309,47710,-1.9,1.4,-10.5,2.4,87.8,96.2,27.8,72.2,36.4,63.6,38.5,61.5,33.3,66.7,,Jaime Del Pino (HR Director UK and Ireland),250 to 499,MASSIMO DUTTI U.K. LIMITED,FALSE
MASTERCARD UK MANAGEMENT SERVICES LIMITED,"19th Floor, 10 Upper Bank Street,
London,
United Kingdom,
E14 5NP",4617367,82990,8.8,18.2,24.4,49.2,95.3,89.1,37.5,62.5,50.9,49.1,67,33,69.4,30.6,https://www.mastercard.co.uk/content/dam/mccom/en-gb/documents/GenderPay%20Report%2019032019_V6.1.pdf,Mark Barnett (Divisional President & UK Corporate Country Officer),250 to 499,MASTERCARD UK MANAGEMENT SERVICES LIMITED,FALSE
MATCHESFASHION LIMITED,"Level 7 The Shard,
32 London Bridge Street,
London,
England,
SE1 9SG",2717838,"47710,
47910",28,31,41,-257,55,51,21,79,31,69,27,73,55,45,,Ulric Jerome (CEO),500 to 999,MATCHESFASHION LIMITED,FALSE
MAXWELLS RESTAURANTS LIMITED,"22 Henrietta Street,
London,
United Kingdom,
WC2E 8ND",1038660,56101,-3.3,-18.5,0,5.8,16.7,28.7,73.8,26.2,81.3,18.7,75,25,61.3,38.7,,Max Scott (FD),250 to 499,MAXWELLS RESTAURANTS LIMITED,FALSE
MAXXIMA LIMITED,"Caledonia House, No. 223 Pentonville Road,
London,
N1 9NG",4197152,78200,9.7,0.1,67.9,72.4,7.1,4.3,41,59,35,65,38.4,61.6,43.5,56.5,https://ukics.com/gender-pay-gap/,Richard MacMillan (CEO),1000 to 4999,MAXXIMA LIMITED,FALSE
MAYDAY HEALTHCARE PLC,"Hygeia, 66-68 College Road,
Harrow,
Middlesex,
HA1 1BE",4983787,78200,18.1,-1.6,68.8,68,25.4,12.2,33,67,27,73,27,73,16,84,https://www.maydayhealthcareplc.co.uk/filedownload.php?a=657-5ca3825d89908,Anna Cooper (HR Director),250 to 499,MAYDAY HEALTHCARE PLC,FALSE
Mayer Brown International LLP,"201 Bishopsgate,
London,
United Kingdom,
EC2M 3AF",OC303359,,8.7,33.6,45.6,30.9,47.7,41.3,31,69,36,64,53,47,52,48,https://www.mayerbrown.com/-/media/files/perspectives-events/publications/2019/04/uk-gender-pay-gap-2018.pdf,Sally Davies (Senior Partner),250 to 499,Mayer Brown International LLP,FALSE
MAZARS LIMITED,"Tower Bridge House,
St Katharine's Way,
London,
United Kingdom,
E1W 1DD",5380971,82990,10.7,5.2,15.3,4.7,29.3,27.1,43.9,56.1,52.2,47.8,48.4,51.6,58.2,41.8,https://www.mazars.co.uk/Home/About-us/Corporate-publications/Gender-pay-gap/Mazars-Gender-Pay-Gap-Report-2018,Ian Wrightson (Head of People and Culture),1000 to 4999,MAZARS LIMITED,FALSE
MB AEROSPACE NEWTON ABBOT LIMITED,"25 Canada Square,
Level 37,
London,
England,
E14 5LQ",5899633,25990,6.7,10.3,NA,NA,0,0,83.9,16.1,91.9,8.1,91.1,8.9,94.3,5.7,http://www.mbaerospace.com/assets/Uploads/2018-MBAe-Newton-Abbot-Gender-Pay-Report.pdf,Simon Jones (Accounts & Payroll Officer),250 to 499,MB AEROSPACE NEWTON ABBOT LIMITED,FALSE
MBA GROUP LIMITED,"Mba House,
Garman Road,
London,
United Kingdom,
N17 0HW",2343859,"18129,
63110",28.6,29.8,44,100,88.7,11.2,50,50,71.8,28.2,77.1,22.9,88.8,11.2,,Paul Biggs (Finance Director),250 to 499,MBA GROUP LIMITED,FALSE
MCALEER & RUSHE CONTRACTS UK LIMITED,"100 George Street,
London,
England,
W1U 8NU",7512356,41100,29.2,26.3,64,50,80.1,75.6,63.4,36.6,76,24,90,10,99,1,http://www.mcaleer-rushe.co.uk/media-centre/downloads/,Eamon Higgins (Finance Director),250 to 499,MCALEER & RUSHE CONTRACTS UK LIMITED,TRUE
MCARTHURGLEN UK LIMITED,"Nations House,
3rd Floor, 103 Wigmore Street,
London,
England,
W1U 1QS",2810264,68209,52.9,45.6,73.3,60.1,79.5,69.6,8,92,25,75,41,59,62,38,https://www.mcarthurglen.com/globalassets/corporate/corporate-policies/mcarthurglen-gender-pay-review.pdf,Julia Calabrese (CEO),250 to 499,MCARTHURGLEN UK LIMITED,FALSE
MCCANN-ERICKSON ADVERTISING LIMITED,"7-11 Herbrand Street,
London,
United Kingdom,
WC1N 1EX",1372305,73110,18.2,23.1,51.4,18.8,20.6,12.1,39,61,35.5,64.5,52,48,57.1,42.9,https://mccannlondon.com/wp-content/themes/mccannny/assets/pdf/gender-pay-gap-report.pdf,Harriet Shurville (People Director),250 to 499,MCCANN-ERICKSON ADVERTISING LIMITED,FALSE
MCDONALD'S RESTAURANTS LIMITED,"11/59 High Road,
East Finchley,
London,
United Kingdom,
N2 8AW",1002769,56102,4,0,64,7,56,56,47,53,49,51,45,55,52,48,,HARRIET HOUNSELL (SVP Chief People Officer),"20,000 or more",MCDONALD'S RESTAURANTS LIMITED,FALSE
MCGEE GROUP (HOLDINGS) LIMITED,"340-342 Athlon Road,
Wembley,
Middlesex,
United Kingdom,
HA0 1BX",933689,"41201,
41202,
43120,
70100",24.7,11.7,44.7,52,77,69.4,90,10,79.7,20.3,87,13,94.2,5.8,,Garry Payne (Head of Human Resources),250 to 499,MCGEE GROUP (HOLDINGS) LIMITED,FALSE
MCGINLEY SUPPORT SERVICES (INFRASTRUCTURE) LIMITED,"KERMAN & CO LLP,
200 Strand,
London,
United Kingdom,
WC2R 1DJ",7487451,78300,22.3,38.2,65.3,78.8,28,85.4,55.4,44.6,75,25,87.5,12.5,96.4,3.6,,Fiona Burke (HR Director),250 to 499,MCGINLEY SUPPORT SERVICES (INFRASTRUCTURE) LIMITED,FALSE
"MCKINSEY & COMPANY, INC. UNITED KINGDOM","1 Jermyn Street,
London,
SW1Y 4UH",BR002227,,25.1,16.3,67.4,19.1,87.1,87,45.2,54.8,52.1,47.9,61.6,38.4,65.8,34.2,https://www.mckinsey.com/uk/our-people/uk-gender-pay-gap-report,Michael Edwards (Director of People and Professional Development),1000 to 4999,"MCKINSEY & COMPANY, INC. UNITED KINGDOM",FALSE
Mcmillan Williams Solicitors Ltd,"Corinthian House,
Lansdowne Road,
Croydon,
England,
CR0 2BX",8718037,69102,41,44,-42,11,8.6,0.2,17,83,15,85,29,71,47,53,http://www.mwsolicitors.co.uk/pdf/MWSL-Gender-Pay-Gap-Report-2018.pdf,Dominic Harrison (Chief Executive Officer),250 to 499,Mcmillan Williams Solicitors Ltd,FALSE
MDU SERVICES LIMITED,"One Canada Square,
London,
United Kingdom,
E14 5GS",3957086,"66220,
74909",6.5,22.8,59.7,16,12.3,12.7,36,64,42,58,56,44,44,56,https://www.themdu.com/about-mdu/mdu-gender-pay-gap-report,Christine Tomkins (Chief Executive),250 to 499,MDU SERVICES LIMITED,FALSE
MEATAILER LIMITED,"1st Floor, 50-51 Berwick Street,
London,
England,
W1F 8SJ",7555270,56101,9.2,7.9,7,-14.3,19.5,11.3,46.3,53.7,60.6,39.4,68.2,31.8,74.2,25.8,,Scott Collins (Co-Founder),250 to 499,MEATAILER LIMITED,FALSE
MEDECINS SANS FRONTIERES (UK),"Chancery Exchange, Furnival Street,
London,
EC4A 1AB",2853011,86900,1.8,0,38,23.4,49.2,45.1,41.9,58.1,33.9,66.1,37.7,62.3,45.2,54.8,https://www.msf.org.uk/gender-pay-gap,Victoria Hawkins (Executive Director MSF UK),250 to 499,MEDECINS SANS FRONTIERES (UK),FALSE
MEDEQUIP ASSISTIVE TECHNOLOGY LIMITED,"Unit 2 Summit Centre,
Skyport Drive Harmondsworth,
West Drayton,
Middlesex,
United Kingdom,
UB7 0LJ",4198824,47749,1.8,-0.3,13.9,7.4,69,66,73.7,26.3,81.1,18.9,78.9,21.1,74.9,25.1,http://www.medequip-uk.com/,Nigel Cook (Director of HR and SHEQ),500 to 999,MEDEQUIP ASSISTIVE TECHNOLOGY LIMITED,FALSE
MEDIABRANDS  LIMITED,"3, Grosvenor Gardens,
London,
SW1W 0BD",773961,73110,26.6,19.8,64.9,33.3,45,36,43.6,56.4,49.3,50.7,49.3,50.7,69.3,30.7,https://uk.ipgmediabrands.com/wp-content/uploads/GPG-Report-2018-Web-Version-Final.pdf,"Caroline Foster Kenny (Chief Executive Officer, EMEA)",250 to 499,MEDIABRANDS  LIMITED,FALSE
MEDIACOM HOLDINGS LIMITED,"124 Theobalds Road,
London,
WC1X 8RX",3525784,73110,30.9,6.5,88.7,0,86,85,47,53,41,59,41,59,56,44,https://www.mediacom.com/uk/news/news/2019/mediacoms-2018-gender-pay-gap-report,Helen Brown (Global Chief People Operations and Performance Officer),1000 to 4999,MEDIACOM HOLDINGS LIMITED,FALSE
MEDICAL SERVICES INTERNATIONAL LIMITED,"Cromwell Hospital,
Cromwell Road,
London,
United Kingdom,
SW5 0TU",1416977,"86102,
86210,
86900",7,-3.1,-6.4,-8,74.3,70.1,35.4,64.6,28,72,24.4,75.6,32.4,67.6,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),500 to 999,MEDICAL SERVICES INTERNATIONAL LIMITED,FALSE
MENZIES AVIATION (ASIG) LIMITED,"2 World Business Centre Heathrow, Newall Road,
London Heathrow Airport,
Hounslow,
England,
England,
TW6 2SF",1791709,51101,33.7,45.4,-18,-25,5,3,46,54,58,42,93,7,95,5,http://johnmenziesplc.com/gender-pay-gap-report/,Claire Hall (EVP People),500 to 999,MENZIES AVIATION (ASIG) LIMITED,FALSE
MENZIES AVIATION (UK) LIMITED,"2 World Business Centre Heathrow, Newall Road,
London Heathrow Airport,
Hounslow,
United Kingdom,
TW6 2SF",3985080,52230,2.4,3.7,33,42,31,40,62,38,51,49,73,27,67,33,http://johnmenziesplc.com/gender-pay-gap-report/,Claire Hall (EVP People),"5000 to 19,999",MENZIES AVIATION (UK) LIMITED,FALSE
MENZIES DISTRIBUTION LIMITED,"Unit E, Twelvetrees Business Park,
Twelvetrees Crescent,
London,
England,
E3 3JG",1430241,46760,-0.1,0,46.1,-51.8,21.7,18.7,68.1,31.9,86.9,13.1,83.9,16.1,72.8,27.2,https://www.menziesdistribution.com/gender-pay-gap-report,Kay Simpson (HR Director),1000 to 4999,MENZIES DISTRIBUTION LIMITED,FALSE
MER MANOR OPERATIONS LIMITED,"60 Welbeck Street,
London,
England,
W1G 9XB",9846430,55100,6.6,0,19.1,31.5,9.4,5.8,54.8,45.2,44.3,55.7,48.5,51.5,56.3,43.7,https://www.amarishospitality.com/careers,Kirstine Rowland (Head of Human Resources),500 to 999,MER MANOR OPERATIONS LIMITED,FALSE
MERCER LIMITED,"1 Tower Place West,
Tower Place,
London,
United Kingdom,
EC3R 5BU",984275,82990,31.5,29.6,59.6,77.4,83.2,86.5,38,62,41,59,50,50,65,35,https://www.uk.mercer.com/content/dam/mercer/attachments/europe/uk/uk-2018-mercer-uk-gender-pay-gap-report-2018.pdf,Fiona Dunsire (CEO UK),1000 to 4999,MERCER LIMITED,FALSE
MERGERMARKET LIMITED,"10 Queen Street Place,
London,
United Kingdom,
EC4R 1BE",3879547,58190,22.9,32.2,39,23,89.4,85.2,46,54,50,50,64,36,77,23,,Jonathan Gomer (Chief Financial Officer),250 to 499,MERGERMARKET LIMITED,FALSE
MERIAN GLOBAL INVESTORS (UK) LIMITED,"Millennium Bridge House, 2 Lambeth Hill,
London,
United Kingdom,
EC4P 4WR",2949554,64999,30,31,92,57,94,94,48,52,56,44,76,24,84,16,https://www.merian.com/global/wp-content/uploads/2019/03/03_19_0187-mgi-gpg-disclosure.pdf,Mark Gregory (Chief Executive Officer),Less than 250,MERIAN GLOBAL INVESTORS (UK) LIMITED,FALSE
